Size,Inv,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1.0,1.0,0.02112134992255944,0.036587559187373754,0.09268441077402438,3.0470309432734306e-06,0.44756675647461275,8.169603922998696e-05
1.0,2.0,0.06645615123652465,0.8751990586411782,0.7535697616481689,1.5205175648051732e-07,0.14684368768965345,1.3545769343220463e-06
1.0,3.0,0.0295822269669942,0.8795362676660113,0.6522487186905431,6.346055742288862e-07,0.08127693171790343,0.005578429551713603
1.0,4.0,0.7903005228454785,0.668211886360917,0.3905409426279228,2.866733623322993e-05,0.01129319371604268,0.1215114870635229
1.0,5.0,0.14401171848305455,0.7323690557058291,0.4592343045415038,1.163647692994804e-05,0.32016134727841405,0.6853676034748006
2.0,1.0,0.020536053386797527,0.003721700768573828,0.00846142969159738,1.8396972499486085e-08,0.03643316164287309,5.639315161738842e-07
2.0,2.0,0.6660570020210277,0.3266970750719467,0.517818073110976,1.820821198826717e-05,0.06916288424720217,0.21311304809263645
2.0,3.0,0.2301053321730359,0.5157076291669713,0.4878055192562608,1.6494577469822832e-06,0.00838289304189363,0.011250338200963807
2.0,4.0,0.020295543054510944,0.04500104971426131,0.089337973782214,7.109848547777703e-05,0.0014366210073047756,0.45412298201646206
2.0,5.0,0.8105117353800984,0.011940486799041332,0.6046823457697147,1.611536317761468e-05,0.33712788661509285,0.015230238024290747
3.0,1.0,0.037819663455388314,0.8315425962110754,0.46273800538618526,6.122790636781305e-08,0.5306380569783221,5.995196937003111e-07
3.0,2.0,0.5325903549272837,0.5912294003988408,0.36672603337618426,7.653148510711464e-07,0.706562642053731,0.0005868464800343708
3.0,3.0,0.14993234951905818,0.5614984476095503,0.9390427838842283,4.968696751760484e-06,0.2343691285286131,0.013184130770393553
3.0,4.0,0.06641022986889403,0.027522756628777567,0.28161022389207524,7.366683102528332e-06,0.0005068560421325607,0.1989408048467856
3.0,5.0,0.8365262782221811,0.29303781428122855,0.3756365479631365,1.571618352553182e-08,0.17310704713897326,0.07385087008762814
4.0,1.0,0.059458188676816896,0.42007496495033236,0.09173201480443224,6.852978693544822e-07,0.20342029132251782,0.00031534163444063107
4.0,2.0,0.45414691764643955,0.7801893440797839,0.22776929950655528,6.222265237215463e-08,0.8592041366765598,1.4127282314500706e-05
4.0,3.0,0.047574773123839134,0.8449452064219936,0.22510305952285517,3.59706756898259e-07,0.675966846059167,0.002276170713756203
4.0,4.0,0.5583114405181163,0.0488014701059884,0.5670780733142398,2.8464223759448554e-06,0.011068851897829243,0.1447986715247488
4.0,5.0,0.06364563998486682,0.5080768260628734,0.31990892396149684,2.420060887749498e-06,0.20186236512652186,0.039203307958580805
5.0,1.0,0.2631491867945895,0.10518803004159488,0.8663838961292528,8.94883415587853e-08,0.952933313591889,1.049055916953784e-06
5.0,2.0,0.1775584299548914,0.1941044624237114,0.5647323603766683,3.956901149914612e-06,0.7909273645646043,0.0013838188047201852
5.0,3.0,0.012764234803457099,0.004974544862466413,0.06804378527544695,3.1164780159697155e-05,0.0097297365501358,0.0025829112994089627
5.0,4.0,0.008183130526241382,0.0003217025527673387,0.43377989102395653,1.075485327767589e-06,4.976245623226517e-05,0.18764048916049797
5.0,5.0,0.7859635516440366,0.12289889854994543,0.2273358680320631,1.4239286916077026e-06,0.5698027229206736,0.3446857329177845
